ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,livestock_goat,maize,pasta,sorghum,teff_fao,wheat,o_livestock_goat,h_livestock_goat,l_livestock_goat,c_livestock_goat,inflation_livestock_goat,trust_livestock_goat,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_pasta,h_pasta,l_pasta,c_pasta,inflation_pasta,trust_pasta,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_teff_fao,h_teff_fao,l_teff_fao,c_teff_fao,inflation_teff_fao,trust_teff_fao,o_wheat,h_wheat,l_wheat,c_wheat,inflation_wheat,trust_wheat,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-01-01,2007,1,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,283.35,304.1,272.39,288.33,,9.6,142.02,156,134.34,145.21,,9.1,8.67,9.18,8.42,8.8,,9.7,2.02,2.18,1.93,2.05,,9.7,375.14,395.44,366.26,380.87,,9.7,3.3,3.89,3.01,3.42,,9.3,0.19,0.21,0.18,0.19,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-02-01,2007,2,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,293.3,309.44,277.17,294.83,,9.6,148.43,169.76,137.35,169.76,,9.1,8.93,9.32,8.54,9.25,,9.7,2.09,2.22,1.96,2.22,,9.7,386.67,401.48,371.86,394.45,,9.7,3.58,4.03,3.12,3.31,,9.3,0.2,0.23,0.18,0.23,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-03-01,2007,3,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,299.98,314.99,284.97,288.26,,9.6,172.53,186.83,134.27,134.27,,9.1,9.43,9.85,8.33,8.33,,9.7,2.25,2.4,1.89,1.89,,9.7,401,416.44,379.08,379.08,,9.7,3.38,3.79,3.01,3.79,,9.3,0.23,0.25,0.18,0.18,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-04-01,2007,4,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,292.81,306.88,278.73,290.64,,9.6,138.41,170.67,124.17,170.67,,9.1,8.33,9.21,7.81,9.21,,9.7,1.94,2.21,1.78,2.21,,9.7,384.15,398.88,369.43,391.89,,9.7,4.01,4.46,3.46,3.46,,9.3,0.19,0.23,0.17,0.23,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-05-01,2007,5,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,295.37,308.51,282.24,301.46,,9.6,172.3,193.31,151.28,155.22,,9.1,9.42,9.96,8.87,9.35,,9.7,2.23,2.4,2.07,2.24,,9.7,396.32,411.75,380.88,398.43,,9.7,3.5,3.96,3.04,3.68,,9.3,0.23,0.26,0.2,0.21,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-06-01,2007,6,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,306.78,319.7,293.87,302.15,,9.6,158.86,180.82,141.24,180.82,,9.1,9.51,9.95,9.09,9.95,,9.7,2.3,2.49,2.17,2.49,,9.7,404.67,420.27,389.07,407.86,,9.7,3.89,4.28,3.5,3.72,,9.3,0.21,0.24,0.19,0.24,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-07-01,2007,7,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,307.23,319.54,288.57,288.57,,9.6,184.47,204.5,164.44,193.36,,9.1,10.17,10.64,9.7,9.9,,9.7,2.51,2.69,2.33,2.51,,9.7,414.03,430.21,397.85,398.19,,9.7,3.8,4.15,3.45,3.9,,9.3,0.25,0.27,0.22,0.26,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-08-01,2007,8,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,292.78,305.58,279.98,293.78,,9.6,194.86,223.24,175.65,223.24,,9.1,10.04,10.49,9.6,10.4,,9.7,2.58,2.73,2.43,2.71,,9.7,403.45,419.1,387.8,414.48,,9.7,4.08,4.44,3.72,3.88,,9.3,0.26,0.29,0.23,0.29,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-09-01,2007,9,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,298.54,323.54,286.33,323.54,,9.6,228.22,250.71,205.73,231.38,,9.1,10.6,11.07,10.12,10.92,,9.7,2.72,2.9,2.54,2.8,,9.7,419.82,450.61,403.29,450.61,,9.7,3.98,4.35,3.37,3.37,,9.3,0.3,0.33,0.27,0.3,,9.8
ETH,Ethiopia,Afar,ZONE2,Abaala,13.36,39.76,gid_133600000397600000,2007-10-01,2007,10,ETB,"livestock_goat (1 Head, Index Weight = 0), maize (100 KG, Index Weight = 0.01), pasta (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1), teff_fao (100 kg, Index Weight = 0.01), wheat (100 KG, Index Weight = 0.01)",Jan 2007,Apr 2026,18.61,20.03,0.99,0,,,,,,,330.07,346.05,314.09,331.12,,9.6,231.83,252.56,211.1,229.57,,9.1,11.15,11.65,10.66,11.02,,9.7,2.88,3.05,2.7,2.82,,9.7,460.41,477.98,442.84,456.67,,9.7,3.46,3.91,3,3.35,,9.3,0.31,0.33,0.28,0.3,,9.8
